name,price,review_count,rating,rounded_rating,content_rating,primary_genre,platform,rating-2,rounded_rating,review_count-2,price-2,content_rating-2,genre,platform-2,app_life,net_income
PewDiePie's Tuber Simulator,$0.00 ,90851,5,5,9+,Games,ios,4.8,5,1499466,$0.00 ,Teen,Casual,google,11," $518,000.00 "
Cytus,$1.99 ,7925,5,,4+,Games,ios,4.7,,541732,$0.00 ,Everyone,Music,google,,
ASOS,$0.00 ,9725,5,5,4+,Shopping,ios,4.7,4.5,181798,$0.00 ,Everyone,Shopping,google,10.5," $494,000.00 "
Domino's Pizza USA,$0.00 ,258624,5,5,4+,Food & Drink,ios,4.7,4.5,1032935,$0.00 ,Everyone,Food & Drink,google,10.5," $494,000.00 "
"Egg, Inc.",$0.00 ,79074,5,5,4+,Games,ios,4.7,4.5,580160,$0.00 ,Everyone,Simulation,google,10.5," $494,000.00 "
Geometry Dash Lite,$0.00 ,370370,5,5,4+,Games,ios,4.5,4.5,6181640,$0.00 ,Everyone,Arcade,google,10.5," $494,000.00 "
The EO Bar,$6.99 ,247,5,,4+,Health & Fitness,ios,4.7,,416,$6.99 ,Everyone,Health & Fitness,google,,
The Guardian,$0.00 ,8176,5,5,12+,News,ios,4.7,4.5,247992,$0.00 ,Teen,News & Magazines,google,10.5," $494,000.00 "
aa,$0.00 ,158845,4.5,4.5,4+,Games,ios,4.2,4,886418,$0.00 ,Everyone,Strategy,google,9.5," $446,000.00 "
Fernanfloo,$0.00 ,2886,4.5,4.5,9+,Games,ios,4.8,5,526595,$0.00 ,Everyone 10+,Arcade,google,10.5," $494,000.00 "
Adobe Illustrator Draw,$0.00 ,3215,4.5,4.5,4+,Productivity,ios,4.4,4.5,65766,$0.00 ,Everyone,Photography,google,10," $470,000.00 "
Agar.io,$0.00 ,176514,4.5,4.5,9+,Games,ios,4.2,4,3816799,$0.00 ,Everyone,Action,google,9.5," $446,000.00 "
AJ Jump: Animal Jam Kangaroos!,$1.99 ,834,4.5,,4+,Games,ios,4.4,,2975,$1.99 ,Everyone,Arcade,google,,
"Alizay, pirate girl",$2.99 ,14,4.5,,4+,Book,ios,4.5,,197,$2.99 ,Everyone,Casual;Action & Adventure,google,,
Alto's Adventure,$4.99 ,7824,4.5,,9+,Games,ios,4.6,,515657,$0.00 ,Everyone,Action,google,,
Afterlight,$0.99 ,14057,4.5,4.5,4+,Photo & Video,ios,4.3,4.5,50893,$0.00 ,Everyone,Photography,google,10," $470,000.00 "
Angry Birds Blast,$0.00 ,24878,4.5,4.5,4+,Games,ios,4.6,4.5,253115,$0.00 ,Everyone,Puzzle,google,10," $470,000.00 "
Angry Birds Epic RPG,$0.00 ,84680,4.5,4.5,4+,Games,ios,4.5,4.5,2634605,$0.00 ,Everyone,Role Playing,google,10," $470,000.00 "
