name,price,review_count,rating,rounded_rating,content_rating,genres,platform,rating-2,rounded_rating-2,review_count-2,price-2,content_rating-2,genres-2,platform-2,Expected_app_life,purchase_price,net_income_lifespan
Super Mario Run,$0.00 ,87958,2.5,2.5,4+,Games,IOS,3.7,3.5,1221896,$0.00 ,Everyone,Action,GOOGLE,7,10000,"$326,000.00 "
Battlefield™ Companion,$0.00 ,689,2.5,2.5,12+,Social Networking,IOS,4,4,263907,$0.00 ,Everyone 10+,Action,GOOGLE,7.5,10000,"$350,000.00 "
diep.io,$0.00 ,9397,4,4,9+,Games,IOS,4.1,4,347883,$0.00 ,Everyone,Action,GOOGLE,9,10000,"$422,000.00 "
DRAGON BALL Z DOKKAN BATTLE,$0.00 ,5362,4,4,9+,Games,IOS,4.1,4,650114,$0.00 ,Teen,Action,GOOGLE,9,10000,"$422,000.00 "
slither.io,$0.00 ,107817,3.5,3.5,4+,Games,IOS,4.4,4.5,5234162,$0.00 ,Everyone,Action,GOOGLE,9,10000,"$422,000.00 "
Agar.io,$0.00 ,176514,4.5,4.5,9+,Games,IOS,4.2,4,3816799,$0.00 ,Everyone,Action,GOOGLE,9.5,10000,"$446,000.00 "
Tiny Archers,$0.00 ,568,4,4,12+,Games,IOS,4.5,4.5,80678,$0.00 ,Mature 17+,Action,GOOGLE,9.5,10000,"$446,000.00 "
Tomb of the Mask,$0.00 ,8054,4.5,4.5,9+,Games,IOS,4.1,4,55380,$0.00 ,Everyone,Action,GOOGLE,9.5,10000,"$446,000.00 "
Bullet Force,$0.00 ,9289,4.5,4.5,17+,Games,IOS,4.5,4.5,634159,$0.00 ,Teen,Action,GOOGLE,10,10000,"$470,000.00 "
Call of Duty®: Heroes,$0.00 ,179416,4.5,4.5,12+,Games,IOS,4.4,4.5,1604146,$0.00 ,Teen,Action,GOOGLE,10,10000,"$470,000.00 "
Dude Perfect 2,$0.00 ,28361,4.5,4.5,4+,Games,IOS,4.5,4.5,401425,$0.00 ,Everyone,Action,GOOGLE,10,10000,"$470,000.00 "
Hungry Shark World,$0.00 ,24057,4.5,4.5,12+,Games,IOS,4.5,4.5,1242855,$0.00 ,Teen,Action,GOOGLE,10,10000,"$470,000.00 "
Injustice: Gods Among Us,$0.00 ,612532,4.5,4.5,12+,Games,IOS,4.4,4.5,2440877,$0.00 ,Teen,Action,GOOGLE,10,10000,"$470,000.00 "
MARVEL Contest of Champions,$0.00 ,233599,4.5,4.5,12+,Games,IOS,4.3,4.5,2468063,$0.00 ,Teen,Action,GOOGLE,10,10000,"$470,000.00 "
MORTAL KOMBAT X,$0.00 ,114475,4.5,4.5,17+,Games,IOS,4.4,4.5,3039889,$0.00 ,Mature 17+,Action,GOOGLE,10,10000,"$470,000.00 "
Shadow Fight 2,$0.00 ,99206,4.5,4.5,12+,Games,IOS,4.6,4.5,10979062,$0.00 ,Everyone 10+,Action,GOOGLE,10,10000,"$470,000.00 "
Smashy Road: Arena,$0.00 ,3207,4.5,4.5,9+,Games,IOS,4.3,4.5,45558,$0.00 ,Everyone 10+,Action,GOOGLE,10,10000,"$470,000.00 "
Swamp Attack,$0.00 ,16968,4.5,4.5,17+,Games,IOS,4.4,4.5,2119218,$0.00 ,Everyone 10+,Action,GOOGLE,10,10000,"$470,000.00 "
Temple Run 2,$0.00 ,295211,4.5,4.5,9+,Games,IOS,4.3,4.5,8118609,$0.00 ,Everyone,Action,GOOGLE,10,10000,"$470,000.00 "
War Robots,$0.00 ,97122,4.5,4.5,12+,Games,IOS,4.6,4.5,3073251,$0.00 ,Everyone 10+,Action,GOOGLE,10,10000,"$470,000.00 "
Zombie Catchers,$0.00 ,16805,4.5,4.5,12+,Games,IOS,4.7,4.5,990491,$0.00 ,Everyone,Action,GOOGLE,10,10000,"$470,000.00 "
OK K.O.! Lakewood Plaza Turbo,$0.00 ,430,4.5,4.5,9+,Games,IOS,4.5,4.5,76608,$0.00 ,Everyone 10+,Action;Action & Adventure,GOOGLE,10,10000,"$470,000.00 "
Pokémon GO,$0.00 ,257627,3,3,9+,Games,IOS,4.1,4,10424925,$0.00 ,Everyone,Adventure,GOOGLE,8,10000,"$374,000.00 "
Ao Oni2,$0.00 ,7,4,4,12+,Games,IOS,4.1,4,21223,$0.00 ,Teen,Adventure,GOOGLE,9,10000,"$422,000.00 "
Ingress,$0.00 ,2739,3.5,3.5,9+,Games,IOS,4.3,4.5,391325,$0.00 ,Everyone,Adventure,GOOGLE,9,10000,"$422,000.00 "
MARVEL Avengers Academy,$0.00 ,17376,4,4,9+,Games,IOS,4.2,4,304106,$0.00 ,Teen,Adventure,GOOGLE,9,10000,"$422,000.00 "
ROBLOX,$0.00 ,183621,4.5,4.5,12+,Games,IOS,4.5,4.5,4447388,$0.00 ,Everyone 10+,Adventure;Action & Adventure,GOOGLE,10,10000,"$470,000.00 "
PAC-MAN,$0.00 ,508808,3,3,4+,Games,IOS,4.2,4,685981,$0.00 ,Everyone,Arcade,GOOGLE,8,10000,"$374,000.00 "
Angry Birds Friends,$0.00 ,23655,4,4,4+,Games,IOS,4.2,4,829753,$0.00 ,Everyone,Arcade,GOOGLE,9,10000,"$422,000.00 "
Angry Birds Space HD,$0.00 ,39502,4,4,4+,Games,IOS,4.5,4.5,43645,$0.00 ,Everyone,Arcade,GOOGLE,9.5,10000,"$446,000.00 "
Endless Ducker,$0.00 ,639,4,4,4+,Games,IOS,4.5,4.5,8193,$0.00 ,Everyone,Arcade,GOOGLE,9.5,10000,"$446,000.00 "
Angry Birds Rio,$0.00 ,170843,4.5,4.5,4+,Games,IOS,4.4,4.5,2610526,$0.00 ,Everyone,Arcade,GOOGLE,10,10000,"$470,000.00 "
Angry Birds Star Wars,$0.00 ,34138,4.5,4.5,4+,Games,IOS,4.3,4.5,1218055,$0.00 ,Everyone,Arcade,GOOGLE,10,10000,"$470,000.00 "
Cooking Fever,$0.00 ,107797,4.5,4.5,4+,Games,IOS,4.5,4.5,3197865,$0.00 ,Everyone,Arcade,GOOGLE,10,10000,"$470,000.00 "
Fruit Ninja®,$0.00 ,327025,4.5,4.5,4+,Games,IOS,4.3,4.5,5091448,$0.00 ,Everyone,Arcade,GOOGLE,10,10000,"$470,000.00 "
Geometry Dash Meltdown,$0.00 ,117470,4.5,4.5,4+,Games,IOS,4.6,4.5,1591129,$0.00 ,Everyone,Arcade,GOOGLE,10,10000,"$470,000.00 "
Geometry Dash World,$0.00 ,5114,4.5,4.5,4+,Games,IOS,4.6,4.5,760628,$0.00 ,Everyone,Arcade,GOOGLE,10,10000,"$470,000.00 "
Hungry Shark Evolution,$0.00 ,83784,4.5,4.5,12+,Games,IOS,4.5,4.5,6074334,$0.00 ,Teen,Arcade,GOOGLE,10,10000,"$470,000.00 "
Jetpack Joyride,$0.00 ,405647,4.5,4.5,9+,Games,IOS,4.4,4.5,4638163,$0.00 ,Everyone 10+,Arcade,GOOGLE,10,10000,"$470,000.00 "
